"REF_DATE","GEO","DGUID","Zero-Emission Vehicles Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","9369","","","","0"
"2019-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","7822","","","","0"
"2019-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","6085","","","","0"
"2020-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","5638","","","","0"
"2020-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","4472","","","","0"
"2020-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","8618","","","","0"
"2020-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","7374","","","","0"
"2021-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","6901","","","","0"
"2021-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","11784","","","","0"
"2021-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","10611","","","","0"
"2021-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","7676","","","","0"
"2022-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","10408","","","","0"
"2022-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","11105","","","","0"
"2022-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","12205","","","","0"
"2022-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","12163","","","","0"
"2023-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","11932","","","","0"
"2023-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","20129","","","","0"
