REF_DATE,GEO,DGUID,Fuel type,Vehicle type,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2024-01,Newfoundland and Labrador,2021A000210,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485217,2.2.1.1,,..,,,0
2024-04,Newfoundland and Labrador,2021A000210,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485217,2.2.1.1,,..,,,0
2024-07,Newfoundland and Labrador,2021A000210,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485217,2.2.1.1,,..,,,0
2024-10,Newfoundland and Labrador,2021A000210,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485217,2.2.1.1,,..,,,0
2017-01,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1533,,,,0
2017-04,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2495,,,,0
2017-07,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2043,,,,0
2017-10,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1384,,,,0
2018-01,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1360,,,,0
2018-04,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2475,,,,0
2018-07,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2458,,,,0
2018-10,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1230,,,,0
2019-01,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1175,,,,0
2019-04,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2349,,,,0
2019-07,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2170,,,,0
2019-10,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1444,,,,0
2020-01,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1037,,,,0
2020-04,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1100,,,,0
2020-07,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2483,,,,0
